id,loaded_distance,appt_date,appt_time,client_id,driver_id,origin_lat,origin_lng,destination_lat,destination_lng,program_name
502005,147 mi,2021-10-01,15:15,14622,55,43.04,-76.11,44.86,-75.22,""
502006,12.8 mi,2021-10-01,17:00,14143,246,44.55,-74.96,44.59,-75.18,""
502007,57.6 mi,2021-10-01,13:30,12173,815,43.81,-76.02,43.04,-76.14,STP
502008,14.3 mi,2021-10-01,16:00,12113,149,44.5,-74.97,44.59,-75.18,""
502009,9.0 mi,2021-10-01,09:00,14819,91,44.8,-74.98,44.68,-74.98,STLAW
502010,10.4 mi,2021-10-01,12:30,14904,91,44.8,-74.98,44.67,-74.96,STLAW
502011,15.4 mi,2021-10-01,14:30,15010,932,44.16,-75.85,44.34,-75.92,STP
502012,22.2 mi,2021-10-01,15:45,14373,192,44.84,-74.97,44.6,-75.15,""
502013,22.2 mi,2021-10-01,18:00,14373,192,44.6,-75.15,44.84,-74.97,""
502014,18.1 mi,2021-10-01,10:00,9204,166,43.58,-75.33,43.8,-75.5,TLS
502015,18.6 mi,2021-10-01,15:30,9646,489,43.85,-76.18,43.98,-75.92,HGS
502016,21.4 mi,2021-10-01,15:30,13234,489,43.79,-76.12,43.98,-75.92,HGS
502017,18.6 mi,2021-10-01,15:30,13236,489,43.85,-76.18,43.98,-75.92,HGS
502018,18.6 mi,2021-10-01,15:30,13235,489,43.85,-76.18,43.98,-75.92,HGS
502019,1.1 mi,2021-10-01,15:00,14948,157,44.94,-74.89,44.93,-74.88,""
502020,1.1 mi,2021-10-01,15:00,14947,157,44.94,-74.89,44.93,-74.88,""
502021,16.9 mi,2021-10-01,08:30,10253,66,44.02,-75.55,44.05,-75.8,SRVC
502022,22.3 mi,2021-10-01,18:30,5256,133,44.23,-76.08,43.96,-76.09,SRVC
502023,1.9 mi,2021-10-01,15:15,14956,157,44.95,-74.91,44.93,-74.88,""
502024,1.9 mi,2021-10-01,15:15,14898,157,44.95,-74.91,44.93,-74.88,""
502025,14.5 mi,2021-10-01,13:30,2476,127,43.86,-76.13,43.97,-75.91,STP
502026,28.5 mi,2021-10-01,09:30,14149,32,43.93,-75.39,43.96,-75.89,SRVC
502027,10.8 mi,2021-10-01,08:00,12852,222,44.5,-75.32,44.59,-75.18,""
502028,10.8 mi,2021-10-01,08:00,12851,222,44.5,-75.32,44.59,-75.18,""
502029,6.2 mi,2021-10-01,09:10,15438,475,44.61,-75.05,44.6,-75.14,FMLM
502030,11.8 mi,2021-10-01,08:35,6316,224,44.8,-75.0,44.86,-75.2,FMLM
502031,2.4 mi,2021-10-01,08:35,6581,224,44.85,-75.24,44.86,-75.2,FMLM
502032,152 mi,2021-10-01,17:15,12763,804,44.93,-74.88,43.32,-75.91,""
502033,19.1 mi,2021-10-01,17:00,15019,200,44.69,-75.5,44.59,-75.18,""
502034,26.6 mi,2021-10-01,15:05,14990,32,43.79,-75.49,43.98,-75.92,SRVC
502035,0.7 mi,2021-10-01,17:30,9400,59,43.89,-75.86,43.89,-75.85,SRVC
502036,1.0 mi,2021-10-01,05:45,9400,127,43.85,-76.01,43.87,-76.0,SRVC
502037,13.4 mi,2021-10-01,13:30,5180,49,44.69,-75.5,44.53,-75.59,FMLM
502038,14.8 mi,2021-10-01,06:30,2615,157,44.81,-74.77,44.68,-74.98,STLAW
502039,9.3 mi,2021-10-01,06:00,15586,729,43.88,-75.42,43.8,-75.5,LEWIS
502040,0.6 mi,2021-10-01,09:15,382,466,43.79,-75.49,43.8,-75.5,LEWIS
502041,2.1 mi,2021-10-01,15:00,5084,161,43.79,-75.47,43.8,-75.5,LEWIS
502042,5.9 mi,2021-10-01,10:45,6816,729,43.74,-75.54,43.8,-75.5,LEWIS
